id_client,wilaya,type_client,favorite_category,favorite_payment,total_orders,total_spent,average_order,total_quantity,average_quantity_per_order,days_since_last_order,Retention Score,Retention Level,Recommended Strategy
CLT_00001,Béjaïa,B2C,Électricité,Paiement à la livraison,4,11492.72,2873.18,12.0,3.0,304.0,0.13179115599643978,Low,Launch a win-back campaign with personalized promotions.
CLT_00002,Béjaïa,B2C,Électricité,Paiement à la livraison,1,11305.8,11305.8,1.0,1.0,61.0,0.0955777786505282,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00003,Touggourt,B2C,Électricité,Paiement à la livraison,3,44293.2,14764.4,4.0,1.3333333333333333,,0.12530633721123205,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00004,Ghardaïa,B2C,Non catégorisé,CIB / EDAHABIA,2,27394.18,13697.09,2.0,1.0,1185.0,0.06808597265154816,Low,Launch a win-back campaign with personalized promotions.
CLT_00005,Annaba,B2C,Électricité,Paiement à la livraison,7,8720.06,1245.722857142857,24.0,3.4285714285714284,1004.0,0.16422580890649546,Low,Launch a win-back campaign with personalized promotions.
CLT_00006,Laghouat,B2C,Électricité,Paiement à la livraison,5,5271.780000000001,1054.3560000000002,10.0,2.0,674.0,0.12956205744881477,Low,Launch a win-back campaign with personalized promotions.
CLT_00007,Blida,B2C,Électricité,Espèces - Bureau E-com,1,9892.57,9892.57,1.0,1.0,126.0,0.06372289912854938,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00008,Alger,B2C,Électricité,Paiement à la livraison,6,8269.64,1378.2733333333333,17.0,2.8333333333333335,,0.20505636310498798,Low,Promote bundles or complementary products to increase basket size.
CLT_00009,Médéa,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,,0.07304948008464386,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00010,Béjaïa,B2C,Électricité,Paiement à la livraison,6,18077.43,3012.905,18.0,3.0,,0.15194930092280157,Low,Promote bundles or complementary products to increase basket size.
CLT_00011,Mascara,B2C,Sanitaire,Paiement à la livraison,6,75241.92,12540.32,8.0,1.3333333333333333,1090.0,0.18154236996561254,Low,Launch a win-back campaign with personalized promotions.
CLT_00012,Alger,B2C,Électricité,Paiement à la livraison,1,9263.46,9263.46,8.0,8.0,,0.1266918098170323,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00013,Aïn Témouchent,B2C,Sanitaire,CIB / EDAHABIA,1,24482.53,24482.53,1.0,1.0,,0.051571223681373846,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00014,Alger,B2C,Sanitaire,CIB / EDAHABIA,1,6947.14,6947.14,1.0,1.0,155.0,0.08901144584255874,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00015,Aïn Defla,B2C,Électricité,Paiement à la livraison,4,8731.0,2182.75,35.0,8.75,980.0,0.10072476312447817,Low,Launch a win-back campaign with personalized promotions.
