id_transaction,id_commande_anon,id_client,type_client,nouveau_ou_fidele,date_commande,wilaya,categorie_produit,produit,quantite,montant_da,moyen_paiement,statut_commande,produit_key
3,17642,CLT_03812,B2C,Returning,2024-06-10,Mila,Sanitaire,Capteur de débit pour chauffe-eau à T° const,3.0,1271.9,Paiement à la livraison,En livraison par NOEST,Capteur de débi
42,16480,CLT_03276,B2C,Returning,2024-01-29,Alger,Électricité,Disjoncteur ECB5 DPN.1P+N.16,3.0,1381.31,Paiement à la livraison,Retour NOEST,Disjoncteur ECB
60,17686,CLT_02345,B2C,New,2024-06-14,Skikda,Électricité,Prise de protection réglable,5.0,5310.99,Paiement à la livraison,En livraison par NOEST,Prise de protec
71,17560,CLT_01955,B2C,New,2024-05-31,Tipaza,Sanitaire,Chauffe-eau à température constante WCT-16L (Gaz Naturel) - Blanc,1.0,29176.26,Paiement à la livraison,En livraison par NOEST,Chauffe-eau à t
182,17573,CLT_03961,B2C,New,2024-06-01,Boumerdès,Sanitaire,Electrode d’allumage pour chauffe-eau à T° const,1.0,793.23,Paiement à la livraison,En livraison par NOEST,Electrode d’all
187,17680,CLT_01657,B2C,Returning,2024-06-14,Djelfa,Électricité,Prise simple DIAA Acrylique - Doré,4.0,1404.11,Paiement à la livraison,En livraison par NOEST,Prise simple DI
205,16678,CLT_01213,B2C,New,2024-02-17,Djelfa,Pièces de rechange pour S.A.V.,Ventilateur 35W,1.0,4741.14,Paiement à la livraison,Partiellement remboursée,Ventilateur 35W
214,17550,CLT_03956,B2C,New,2024-05-30,Alger,Électricité,Interrupteur différentiel sensible 30mA IDE2.2P63,2.0,3824.28,CIB / EDAHABIA,En livraison par NOEST,Interrupteur di
219,17529,CLT_02007,B2C,Returning,2024-05-24,Tlemcen,Pièces de rechange pour S.A.V.,Vase d’expansion 12L,1.0,7613.18,Paiement à la livraison,En livraison par NOEST,Vase d’expansio
225,17682,CLT_00768,B2C,Returning,2024-06-14,Blida,Électricité,Protecteur de tension réglable PTDR2 40 A,1.0,1581.9,Paiement à la livraison,En livraison par NOEST,Protecteur de t
235,17649,CLT_02962,B2C,Returning,2024-06-10,El Oued,Électricité,Protecteur de tension et courant réglable PTDR5.63A,2.0,3191.15,Paiement à la livraison,En livraison par NOEST,Protecteur de t
246,14981,CLT_00985,B2C,New,2023-09-15,Ouled Djellal,Sanitaire,Pilote GN,1.0,948.23,Paiement à la livraison,Partiellement remboursée,Pilote GN
260,14500,CLT_03606,B2C,Returning,2023-07-13,Blida,Électricité,Interrupteur Simple Allumage DIAA Glass,7.0,3063.51,Paiement à la livraison,Retour NOEST,Interrupteur Si
267,17609,CLT_02927,B2C,New,2024-06-05,Mascara,Sanitaire,Rallonge du conduit de fumée concentrique (1m) chauffe-eau 12L,2.0,2826.45,Paiement à la livraison,En livraison par NOEST,Rallonge du con
363,17295,CLT_02133,B2C,New,2024-04-28,Ouargla,Électricité,Disjoncteur différentiel sensible 30mA 1P+N DDS.32A,1.0,1923.81,Paiement à la livraison,Retour NOEST,Disjoncteur dif
428,17557,CLT_02609,B2C,Returning,2024-05-31,Aïn Defla,Électricité,Interrupteur différentiel sensible 30mA IDE2.4P63,1.0,3218.51,Paiement à la livraison,En livraison par NOEST,Interrupteur di
429,16480,CLT_03276,B2C,Returning,2024-01-29,Alger,Électricité,Interrupteur va et vient NOOR,2.0,319.12,Paiement à la livraison,Retour NOEST,Interrupteur va
433,17469,CLT_01480,B2C,New,2024-05-18,Chlef,Sanitaire,Conduit de fumée concentrique (cheminée),1.0,2416.16,Paiement à la livraison,En livraison par NOEST,Conduit de fumé
495,17579,CLT_00814,B2C,Returning,2024-06-01,Chlef,Électricité,Protecteur de tension et courant réglable PTDR5.63A,3.0,4786.73,Paiement à la livraison,En livraison par NOEST,Protecteur de t
520,14749,CLT_02949,B2C,New,2023-08-14,Alger,Électricité,Prise de protection réglable,8.0,9263.46,Paiement à la livraison,Retour NOEST,Prise de protec
555,11687,CLT_03267,B2C,Unknown,2022-06-27,Ghardaïa,Non catégorisé,,,,Paiement à la livraison,En livraison par NOEST,
588,17689,CLT_03765,B2C,Returning,2024-06-15,Mascara,Sanitaire,Echangeur pour chauffe-eau à T° const WCT 12L,2.0,15126.07,Paiement à la livraison,En livraison par NOEST,Echangeur pour
599,17094,CLT_00991,B2C,Returning,2024-04-06,Oran,Électricité,Spot 3D LED - 10 watt,5.0,1481.61,Paiement à la livraison,Partiellement remboursée,Spot 3D LED - 1
605,14913,CLT_03676,B2C,New,2023-09-08,Tizi Ouzou,Électricité,Prise simple DIAA Glass,17.0,7439.95,Paiement à la livraison,Partiellement remboursée,Prise simple DI
609,13242,CLT_03080,B2C,Returning,2023-01-30,El Mghair,Sanitaire,Rallonge du conduit de fumée concentrique (1m) chauffe-eau 12L,2.0,2188.22,Paiement à la livraison,Retour NOEST,Rallonge du con
617,17673,CLT_03941,B2C,Returning,2024-06-13,Annaba,Sanitaire,Thermocontact gaz brulé 140°,2.0,264.41,Paiement à la livraison,En livraison par NOEST,Thermocontact g
627,15421,CLT_03080,B2C,Returning,2023-11-03,Mila,Sanitaire,Afficheur pour chauffe-eau à T° const,1.0,1650.28,Paiement à la livraison,Partiellement remboursée,Afficheur pour
642,17331,CLT_03870,B2C,Returning,2024-05-03,Skikda,Sanitaire,Mitigeur Bidet Mural,1.0,4326.29,Paiement à la livraison,Retour NOEST,Mitigeur Bidet
644,17331,CLT_03870,B2C,Returning,2024-05-03,Skikda,Sanitaire,Colonne de douche A008,1.0,14861.66,Paiement à la livraison,Retour NOEST,Colonne de douc
654,17173,CLT_03080,B2C,Returning,2024-04-15,Oum El Bouaghi,Électricité,Carte de contrôle électronique,1.0,12354.32,Paiement à la livraison,Retour NOEST,Carte de contrô
675,17521,CLT_01847,B2C,Returning,2024-05-24,Béchar,Électricité,Interrupteur double allumage Acrylique - Doré,3.0,1053.08,Paiement à la livraison,En livraison par NOEST,Interrupteur do
711,17653,CLT_03673,B2C,Returning,2024-06-11,Khenchela,Sanitaire,Mitigeur Cuisine Razy Noir,1.0,6605.69,Paiement à la livraison,En livraison par NOEST,Mitigeur Cuisin
