id_client,recence,frequence,montant,segment,label
CLT_00004,1047,2,27394.18,0,Perdus 🔴
CLT_00005,688,7,8720.06,0,Perdus 🔴
CLT_00006,536,5,5271.780000000001,0,Perdus 🔴
CLT_00007,134,1,9892.57,1,A risque 🟡
CLT_00008,614,6,8269.64,0,Perdus 🔴
CLT_00009,523,1,26440.98,0,Perdus 🔴
CLT_00010,1040,6,18077.43,0,Perdus 🔴
CLT_00011,922,6,75241.92,0,Perdus 🔴
CLT_00012,374,1,9263.46,1,A risque 🟡
CLT_00014,75,1,6947.14,1,A risque 🟡
CLT_00015,899,4,8731.0,0,Perdus 🔴
CLT_00016,693,2,21439.989999999998,0,Perdus 🔴
CLT_00017,1092,3,13184.02,0,Perdus 🔴
CLT_00018,197,1,2388.81,1,A risque 🟡
CLT_00019,1034,3,42228.07,0,Perdus 🔴
CLT_00020,371,1,1791.6,1,A risque 🟡
CLT_00021,197,1,25912.16,1,A risque 🟡
CLT_00022,849,4,40516.7,0,Perdus 🔴
CLT_00023,1069,1,6473.48,0,Perdus 🔴
CLT_00024,196,1,738.52,1,A risque 🟡
CLT_00025,653,13,40012.5,0,Perdus 🔴
CLT_00026,144,6,63016.15,1,A risque 🟡
CLT_00027,1045,1,119440.3,0,Perdus 🔴
CLT_00028,637,1,682.91,0,Perdus 🔴
CLT_00029,833,1,4514.11,0,Perdus 🔴
CLT_00030,416,1,119440.3,1,A risque 🟡
CLT_00031,554,2,10427.41,0,Perdus 🔴
CLT_00032,190,2,30078.899999999998,1,A risque 🟡
CLT_00033,568,1,1884.6,0,Perdus 🔴
CLT_00034,235,32,224500.33,2,Champions 🟢
CLT_00035,37,19,110514.18,1,A risque 🟡
CLT_00036,191,11,15481.66,1,A risque 🟡
CLT_00037,896,1,26440.98,0,Perdus 🔴
CLT_00038,302,2,3218.5,1,A risque 🟡
CLT_00039,843,1,5724.93,0,Perdus 🔴
CLT_00040,1035,1,10904.63,0,Perdus 🔴
CLT_00041,396,1,22338.07,1,A risque 🟡
CLT_00042,1059,1,3000.6,0,Perdus 🔴
CLT_00044,199,2,55617.24,1,A risque 🟡
CLT_00045,50,4,35649.74,1,A risque 🟡
CLT_00046,231,8,33675.79,1,A risque 🟡
CLT_00047,785,1,106675.69,0,Perdus 🔴
CLT_00048,768,1,12513.88,0,Perdus 🔴
CLT_00049,47,1,1477.05,1,A risque 🟡
CLT_00050,40,1,7088.92,1,A risque 🟡
CLT_00051,623,2,13136.609999999999,0,Perdus 🔴
CLT_00052,214,1,29176.26,1,A risque 🟡
CLT_00055,511,7,188718.29,1,A risque 🟡
CLT_00056,57,37,131201.99,2,Champions 🟢
CLT_00058,150,1,26440.98,1,A risque 🟡
CLT_00059,177,1,117616.78,1,A risque 🟡
CLT_00060,471,1,925.43,1,A risque 🟡
CLT_00061,256,3,326.14,1,A risque 🟡
CLT_00062,155,1,26440.98,1,A risque 🟡
CLT_00063,651,1,2061.48,0,Perdus 🔴
CLT_00065,604,4,13542.34,0,Perdus 🔴
CLT_00066,852,1,26440.98,0,Perdus 🔴
CLT_00067,403,2,3296.0099999999998,1,A risque 🟡
CLT_00068,361,1,1791.6,1,A risque 🟡
CLT_00069,50,2,8643.460000000001,1,A risque 🟡
CLT_00070,485,1,15819.0,1,A risque 🟡
CLT_00071,333,11,384606.87,1,A risque 🟡
CLT_00072,681,12,42414.98,0,Perdus 🔴
CLT_00073,122,1,11396.98,1,A risque 🟡
CLT_00074,924,2,21809.25,0,Perdus 🔴
CLT_00075,147,1,29176.26,1,A risque 🟡
CLT_00076,176,1,29176.26,1,A risque 🟡
CLT_00077,291,3,207151.41999999998,1,A risque 🟡
CLT_00078,357,3,39802.8,1,A risque 🟡
CLT_00080,286,2,6578.34,1,A risque 🟡
CLT_00081,541,2,52353.149999999994,0,Perdus 🔴
CLT_00082,347,1,1791.6,1,A risque 🟡
CLT_00083,874,2,98013.99,0,Perdus 🔴
CLT_00084,214,1,27352.74,1,A risque 🟡
CLT_00085,370,1,2831.01,1,A risque 🟡
CLT_00086,760,4,14208.84,0,Perdus 🔴
CLT_00087,1007,1,5124.99,0,Perdus 🔴
CLT_00088,200,1,4558.79,1,A risque 🟡
CLT_00089,576,1,20586.77,0,Perdus 🔴
CLT_00090,535,5,3829.37,0,Perdus 🔴
CLT_00091,139,11,96245.8,1,A risque 🟡
CLT_00092,326,1,27352.74,1,A risque 🟡
CLT_00093,55,1,4467.61,1,A risque 🟡
CLT_00094,994,9,29590.190000000002,0,Perdus 🔴
CLT_00095,629,1,2831.01,0,Perdus 🔴
CLT_00096,205,1,578.97,1,A risque 🟡
CLT_00097,442,1,1581.9,1,A risque 🟡
CLT_00098,67,1,2416.16,1,A risque 🟡
CLT_00099,190,1,58352.51,1,A risque 🟡
CLT_00100,709,3,17447.4,0,Perdus 🔴
CLT_00101,744,5,6345.8099999999995,0,Perdus 🔴
CLT_00102,523,4,36825.91,0,Perdus 🔴
CLT_00103,98,6,3665.2599999999998,1,A risque 🟡
CLT_00104,1019,1,93250.05,0,Perdus 🔴
CLT_00105,373,1,2735.27,1,A risque 🟡
CLT_00106,312,7,16457.22,1,A risque 🟡
CLT_00107,712,12,21641.46,0,Perdus 🔴
CLT_00108,80,1,26440.98,1,A risque 🟡
CLT_00109,163,1,3555.86,1,A risque 🟡
CLT_00110,929,2,3719.0600000000004,0,Perdus 🔴
CLT_00111,162,1,6437.01,1,A risque 🟡
CLT_00113,656,1,5418.58,0,Perdus 🔴
CLT_00114,895,1,26440.98,0,Perdus 🔴
CLT_00115,702,7,68754.76,0,Perdus 🔴
CLT_00116,407,5,206599.8,1,A risque 🟡
CLT_00117,165,3,24973.05,1,A risque 🟡
CLT_00118,401,1,140410.73,1,A risque 🟡
CLT_00119,345,2,2794.5299999999997,1,A risque 🟡
CLT_00120,51,8,63823.049999999996,1,A risque 🟡
CLT_00121,526,2,810.5500000000001,0,Perdus 🔴
CLT_00122,79,20,38543.64,1,A risque 🟡
CLT_00123,543,1,94822.83,0,Perdus 🔴
CLT_00124,243,4,25693.34,1,A risque 🟡
CLT_00125,1076,1,3566.8,0,Perdus 🔴
CLT_00126,761,1,2734.36,0,Perdus 🔴
CLT_00127,357,1,4321.73,1,A risque 🟡
CLT_00128,775,1,3740.29,0,Perdus 🔴
CLT_00129,38,1,738.52,1,A risque 🟡
CLT_00130,102,1,26440.98,1,A risque 🟡
CLT_00131,915,2,23321.86,0,Perdus 🔴
CLT_00132,415,4,4914.38,1,A risque 🟡
CLT_00133,448,1,26440.98,1,A risque 🟡
CLT_00134,453,3,4444.83,1,A risque 🟡
CLT_00135,981,3,10166.099999999999,0,Perdus 🔴
CLT_00136,758,3,3308.77,0,Perdus 🔴
CLT_00137,142,1,26440.98,1,A risque 🟡
CLT_00138,157,1,5000.99,1,A risque 🟡
CLT_00139,553,1,4978.2,0,Perdus 🔴
CLT_00140,728,1,3919.65,0,Perdus 🔴
CLT_00141,483,2,13617.11,1,A risque 🟡
CLT_00142,220,3,12828.44,1,A risque 🟡
CLT_00143,899,1,3035.24,0,Perdus 🔴
CLT_00144,372,1,3282.33,1,A risque 🟡
CLT_00145,72,1,13566.96,1,A risque 🟡
CLT_00146,872,1,26440.98,0,Perdus 🔴
CLT_00147,83,4,148209.19,1,A risque 🟡
CLT_00148,496,1,2092.48,1,A risque 🟡
CLT_00149,209,5,2712.4700000000003,1,A risque 🟡
CLT_00151,175,3,14943.72,1,A risque 🟡
CLT_00152,140,1,4321.73,1,A risque 🟡
CLT_00153,514,1,3476.53,0,Perdus 🔴
CLT_00154,490,16,246693.23,1,A risque 🟡
CLT_00155,544,3,296321.35,0,Perdus 🔴
CLT_00156,182,2,3847.62,1,A risque 🟡
CLT_00157,199,1,2808.21,1,A risque 🟡
CLT_00159,980,3,139032.15,0,Perdus 🔴
CLT_00160,597,2,53246.67,0,Perdus 🔴
CLT_00161,639,1,832.44,0,Perdus 🔴
CLT_00162,769,1,5408.55,0,Perdus 🔴
CLT_00163,177,1,21426.31,1,A risque 🟡
CLT_00164,191,1,9208.76,1,A risque 🟡
CLT_00165,224,1,4326.29,1,A risque 🟡
CLT_00166,618,2,235233.56,0,Perdus 🔴
CLT_00167,692,1,5418.58,0,Perdus 🔴
CLT_00168,299,3,2242.92,1,A risque 🟡
CLT_00169,571,3,1659.4,0,Perdus 🔴
CLT_00170,52,4,29659.49,1,A risque 🟡
CLT_00171,354,11,21253.98,1,A risque 🟡
CLT_00172,726,4,1448.78,0,Perdus 🔴
CLT_00173,200,1,126734.36,1,A risque 🟡
CLT_00174,849,2,4381.91,0,Perdus 🔴
CLT_00175,62,2,17469.28,1,A risque 🟡
CLT_00176,657,3,213670.48,0,Perdus 🔴
CLT_00177,1055,1,7026.59,0,Perdus 🔴
CLT_00178,229,1,9691.99,1,A risque 🟡
CLT_00179,1057,2,736.7,0,Perdus 🔴
CLT_00180,938,1,3633.36,0,Perdus 🔴
CLT_00181,201,2,7020.54,1,A risque 🟡
CLT_00182,308,1,4321.73,1,A risque 🟡
CLT_00183,674,5,43790.82,0,Perdus 🔴
CLT_00184,29,1,4194.09,1,A risque 🟡
CLT_00185,40,4,34510.03999999999,1,A risque 🟡
CLT_00186,99,10,14031.95,1,A risque 🟡
CLT_00187,852,1,26440.98,0,Perdus 🔴
CLT_00188,36,12,10596.43,1,A risque 🟡
CLT_00189,482,2,14177.84,1,A risque 🟡
CLT_00190,515,1,26440.98,0,Perdus 🔴
CLT_00191,520,5,55563.7,0,Perdus 🔴
CLT_00192,204,6,21904.98,1,A risque 🟡
CLT_00193,757,1,2831.01,0,Perdus 🔴
CLT_00194,443,3,20124.86,1,A risque 🟡
CLT_00195,107,2,5744.07,1,A risque 🟡
CLT_00197,81,1,469.56,1,A risque 🟡
CLT_00198,217,2,1080.43,1,A risque 🟡
CLT_00199,881,2,12495.64,0,Perdus 🔴
CLT_00201,105,7,38995.89,1,A risque 🟡
CLT_00202,76,1,1458.81,1,A risque 🟡
CLT_00203,517,1,3017.92,0,Perdus 🔴
CLT_00204,575,1,4321.73,0,Perdus 🔴
CLT_00205,1021,1,6981.69,0,Perdus 🔴
CLT_00206,540,1,26440.98,0,Perdus 🔴
CLT_00207,375,1,6382.31,1,A risque 🟡
CLT_00208,1074,1,7133.59,0,Perdus 🔴
CLT_00209,29,24,212489.78,2,Champions 🟢
CLT_00210,296,3,14155.050000000001,1,A risque 🟡
CLT_00211,271,6,59834.12,1,A risque 🟡
CLT_00212,143,1,26440.98,1,A risque 🟡
CLT_00213,200,4,29039.49,1,A risque 🟡
CLT_00214,840,5,131293.16,0,Perdus 🔴
CLT_00215,377,1,5124.08,1,A risque 🟡
CLT_00216,630,6,2624.04,0,Perdus 🔴
CLT_00217,707,1,119440.3,0,Perdus 🔴
CLT_00218,408,1,1157.93,1,A risque 🟡
CLT_00219,894,1,20003.97,0,Perdus 🔴
CLT_00220,474,1,4102.91,1,A risque 🟡
CLT_00221,41,4,3031.6,1,A risque 🟡
CLT_00222,355,2,32052.86,1,A risque 🟡
CLT_00223,643,1,5724.93,0,Perdus 🔴
CLT_00224,200,4,47147.01,1,A risque 🟡
CLT_00225,161,2,27899.79,1,A risque 🟡
CLT_00226,316,1,3163.8,1,A risque 🟡
CLT_00227,191,3,16862.96,1,A risque 🟡
CLT_00228,112,1,1467.93,1,A risque 🟡
CLT_00229,526,1,20970.43,0,Perdus 🔴
CLT_00230,504,5,32008.17,1,A risque 🟡
CLT_00231,540,15,10206.25,1,A risque 🟡
CLT_00232,981,1,7633.24,0,Perdus 🔴
CLT_00233,154,3,28980.23,1,A risque 🟡
CLT_00234,1067,2,39453.59,0,Perdus 🔴
CLT_00235,712,1,1664.87,0,Perdus 🔴
CLT_00237,232,16,147844.46,1,A risque 🟡
CLT_00238,286,1,104542.17,1,A risque 🟡
CLT_00239,1004,2,114826.8,0,Perdus 🔴
CLT_00240,505,1,9738.49,0,Perdus 🔴
CLT_00241,168,1,29176.26,1,A risque 🟡
CLT_00242,257,2,14770.48,1,A risque 🟡
